date,temp_mean_C,temp_max_C,temp_min_C,rh_pct,wind_ms,solar_rad_MJ,precip_mm,ET0,cotton_stage,cotton_kc,cotton_cwr,corn_stage,corn_kc,corn_cwr,soybean_stage,soybean_kc,soybean_cwr
2025-04-12,12.19,19.13,7.1,75.9,0.42,23.44,0.0,2.278,Establishment,0.4,0.911,Vegetative,0.75,1.708,,,
2025-04-13,13.42,22.05,4.25,68.88,0.33,27.29,0.0,3.049,Establishment,0.4,1.22,Vegetative,0.75,2.287,,,
2025-04-14,17.79,26.27,8.23,78.62,0.41,27.13,0.0,3.558,Establishment,0.4,1.423,Vegetative,0.75,2.668,,,
2025-04-15,16.54,21.34,9.58,74.99,0.56,21.6,0.0,2.251,Establishment,0.4,0.9,Vegetative,0.75,1.688,,,
2025-04-16,14.82,22.11,5.85,64.53,0.46,27.79,0.0,3.25,Establishment,0.4,1.3,Vegetative,0.75,2.438,,,
2025-04-17,16.94,25.39,8.29,65.91,0.42,26.39,0.0,3.249,Establishment,0.4,1.3,Vegetative,0.75,2.437,,,
2025-04-18,18.73,27.21,11.31,76.09,0.42,26.93,0.0,3.646,Establishment,0.4,1.458,Vegetative,0.75,2.734,,,
2025-04-19,21.43,28.54,12.79,71.53,0.55,23.63,0.0,3.203,Establishment,0.4,1.281,Vegetative,0.75,2.402,,,
2025-04-20,20.52,25.25,16.53,80.01,0.47,18.33,0.0,2.02,Establishment,0.4,0.808,Vegetative,0.75,1.515,,,
2025-04-21,19.75,26.34,13.93,82.17,0.41,22.34,0.09,2.813,Establishment,0.4,1.125,Vegetative,0.75,2.11,,,
2025-04-22,20.31,25.88,16.66,83.72,0.3,14.21,0.59,1.184,Establishment,0.4,0.474,Vegetative,0.75,0.888,,,
2025-04-23,22.07,27.83,16.35,75.87,0.29,18.63,1.82,2.148,Establishment,0.4,0.859,Vegetative,0.75,1.611,,,
2025-04-24,21.75,27.76,17.97,81.68,0.34,17.06,1.39,1.929,Establishment,0.4,0.772,Vegetative,0.75,1.447,,,
2025-04-25,21.87,27.82,16.28,82.17,0.31,20.65,1.97,2.657,Establishment,0.4,1.063,Vegetative,0.75,1.993,,,
2025-04-26,22.25,28.7,17.21,80.16,0.28,22.18,1.01,3.041,Establishment,0.4,1.216,Vegetative,0.75,2.281,,,
2025-04-27,23.8,31.09,16.75,71.38,0.3,23.99,0.15,3.51,Establishment,0.4,1.404,Flowering,1.2,4.212,,,
2025-04-28,22.93,29.13,18.25,78.44,0.42,13.7,0.31,1.307,Establishment,0.4,0.523,Flowering,1.2,1.568,,,
2025-04-29,23.64,31.41,17.34,72.13,0.32,18.86,0.01,2.428,Establishment,0.4,0.971,Flowering,1.2,2.914,,,
2025-04-30,23.74,31.1,16.9,73.11,0.28,20.89,0.5,2.844,Establishment,0.4,1.138,Flowering,1.2,3.413,Establishment,0.4,1.138
2025-05-01,22.78,27.18,17.79,73.82,0.44,17.09,0.16,1.872,Establishment,0.4,0.749,Flowering,1.2,2.246,Establishment,0.4,0.749
2025-05-02,22.81,28.34,18.3,77.14,0.33,23.37,2.08,3.304,Vegetative,0.75,2.478,Flowering,1.2,3.965,Establishment,0.4,1.322
