county,latitude,longitude,date,T2M,T2M_MAX,T2M_MIN,RH2M,WS2M,ALLSKY_SFC_SW_DWN,PRECTOTCORR
Macon,32.38611209,-85.6926806,4/12/2025,12.19,19.13,7.1,75.9,0.42,23.44,0
Macon,32.38611209,-85.6926806,4/13/2025,13.42,22.05,4.25,68.88,0.33,27.29,0
Macon,32.38611209,-85.6926806,4/14/2025,17.79,26.27,8.23,78.62,0.41,27.13,0
Macon,32.38611209,-85.6926806,4/15/2025,16.54,21.34,9.58,74.99,0.56,21.6,0
Macon,32.38611209,-85.6926806,4/16/2025,14.82,22.11,5.85,64.53,0.46,27.79,0
Macon,32.38611209,-85.6926806,4/17/2025,16.94,25.39,8.29,65.91,0.42,26.39,0
Macon,32.38611209,-85.6926806,4/18/2025,18.73,27.21,11.31,76.09,0.42,26.93,0
Macon,32.38611209,-85.6926806,4/19/2025,21.43,28.54,12.79,71.53,0.55,23.63,0
Macon,32.38611209,-85.6926806,4/20/2025,20.52,25.25,16.53,80.01,0.47,18.33,0
Macon,32.38611209,-85.6926806,4/21/2025,19.75,26.34,13.93,82.17,0.41,22.34,0.09
Macon,32.38611209,-85.6926806,4/22/2025,20.31,25.88,16.66,83.72,0.3,14.21,0.59
Macon,32.38611209,-85.6926806,4/23/2025,22.07,27.83,16.35,75.87,0.29,18.63,1.82
Macon,32.38611209,-85.6926806,4/24/2025,21.75,27.76,17.97,81.68,0.34,17.06,1.39
Macon,32.38611209,-85.6926806,4/25/2025,21.87,27.82,16.28,82.17,0.31,20.65,1.97
Macon,32.38611209,-85.6926806,4/26/2025,22.25,28.7,17.21,80.16,0.28,22.18,1.01
Macon,32.38611209,-85.6926806,4/27/2025,23.8,31.09,16.75,71.38,0.3,23.99,0.15
Macon,32.38611209,-85.6926806,4/28/2025,22.93,29.13,18.25,78.44,0.42,13.7,0.31
Macon,32.38611209,-85.6926806,4/29/2025,23.64,31.41,17.34,72.13,0.32,18.86,0.01
Macon,32.38611209,-85.6926806,4/30/2025,23.74,31.1,16.9,73.11,0.28,20.89,0.5
Macon,32.38611209,-85.6926806,5/1/2025,22.78,27.18,17.79,73.82,0.44,17.09,0.16
Macon,32.38611209,-85.6926806,5/2/2025,22.81,28.34,18.3,77.14,0.33,23.37,2.08
Macon,32.38611209,-85.6926806,5/3/2025,19.3,23.67,15.39,91.41,0.53,10.37,20.06
Macon,32.38611209,-85.6926806,5/4/2025,16.9,23.07,11.01,73.08,0.39,26.01,0.42
Macon,32.38611209,-85.6926806,5/5/2025,17.46,24.41,9.73,67.9,0.48,25.97,0
Macon,32.38611209,-85.6926806,5/6/2025,19.16,25.77,11.49,67.85,0.38,17.43,2.05
Macon,32.38611209,-85.6926806,5/7/2025,20.29,23.8,16,84.05,0.43,17.05,8.5
Macon,32.38611209,-85.6926806,5/8/2025,24.08,31.2,17.46,71.71,0.3,25.83,0.43
Macon,32.38611209,-85.6926806,5/9/2025,21.92,28.12,17.56,78.88,0.2,16.77,5.55
Macon,32.38611209,-85.6926806,5/10/2025,20.27,23.74,17.66,91.24,0.82,8.15,13.06
Macon,32.38611209,-85.6926806,5/11/2025,20.42,22.89,18.81,95.53,0.76,6.36,22.95
Macon,32.38611209,-85.6926806,5/12/2025,21.82,27.08,16.89,82.39,0.42,20.46,4.93
Macon,32.38611209,-85.6926806,5/13/2025,21.04,26.42,15.58,79.64,0.39,21.09,0.96
Macon,32.38611209,-85.6926806,5/14/2025,23.13,29.88,16.15,77.5,0.41,26.28,0.02
Macon,32.38611209,-85.6926806,5/15/2025,24.4,30.92,18.07,81.26,0.41,24.47,0.01
Macon,32.38611209,-85.6926806,5/16/2025,25.94,32.49,20.43,75.12,0.4,24.63,0.08
Macon,32.38611209,-85.6926806,5/17/2025,23.73,26.83,21.76,91,0.43,10.23,7.99
Macon,32.38611209,-85.6926806,5/18/2025,24.14,28.27,19.73,87.52,0.46,14.47,11.23
Macon,32.38611209,-85.6926806,5/19/2025,24.86,31.67,18.96,76.31,0.35,21.72,0.81
Macon,32.38611209,-85.6926806,5/20/2025,25.75,32.16,19.64,76.52,0.44,26.34,1.11
Macon,32.38611209,-85.6926806,5/21/2025,23.97,29.17,18.55,72.82,0.52,28.64,1.96
Macon,32.38611209,-85.6926806,5/22/2025,23.64,31.26,16.41,70.56,0.4,29.7,0
Macon,32.38611209,-85.6926806,5/23/2025,24.31,31.65,17.11,68.27,0.44,27.25,0
Macon,32.38611209,-85.6926806,5/24/2025,25.12,33.1,16.69,62.44,0.27,22.56,0.65
Macon,32.38611209,-85.6926806,5/25/2025,25.97,31.79,20.33,70.38,0.31,23.12,10.2
Macon,32.38611209,-85.6926806,5/26/2025,24.75,28.71,19.85,84.32,0.31,21.41,27.21
Macon,32.38611209,-85.6926806,5/27/2025,23.71,27.97,20.77,92.15,0.37,11.56,27.64
Macon,32.38611209,-85.6926806,5/28/2025,24.77,30.04,19.84,80.03,0.39,22.19,4.18
Macon,32.38611209,-85.6926806,5/29/2025,21.84,23.77,18.69,92.59,0.35,7.69,20.63
Macon,32.38611209,-85.6926806,5/30/2025,22.03,27.67,17.36,85.71,0.49,16.24,2.09
Macon,32.38611209,-85.6926806,5/31/2025,20.71,26.84,15.02,77.53,0.36,24.5,0.05
Macon,32.38611209,-85.6926806,6/1/2025,20.76,26.23,15.28,79.89,0.36,20.32,0.53
Macon,32.38611209,-85.6926806,6/2/2025,23.18,30.33,16.27,67.13,0.47,24.96,0.01
Macon,32.38611209,-85.6926806,6/3/2025,23.27,30.22,15.38,71.57,0.43,25.26,0
Macon,32.38611209,-85.6926806,6/4/2025,24.37,30.02,20.3,80.05,0.46,18.75,2.73
Macon,32.38611209,-85.6926806,6/5/2025,25.74,30.72,19.71,76.48,0.32,16.96,1.28
Macon,32.38611209,-85.6926806,6/6/2025,26.87,33.38,20.63,75.06,0.37,24,0.72
Macon,32.38611209,-85.6926806,6/7/2025,27.26,33.02,22.59,78.24,0.42,24.12,3.16
Macon,32.38611209,-85.6926806,6/8/2025,25.09,28.91,22.63,87.64,0.48,13.61,12.47
Macon,32.38611209,-85.6926806,6/9/2025,24.59,28.75,22.38,89.98,0.43,15.7,13.27
Macon,32.38611209,-85.6926806,6/10/2025,26.1,30.32,22.08,79.59,0.34,21.2,3.67
Macon,32.38611209,-85.6926806,6/11/2025,27.02,32.17,20.88,74.26,0.27,23.56,2.81
Macon,32.38611209,-85.6926806,6/12/2025,25.66,29.7,21.68,84.77,0.26,20.21,4.91
Macon,32.38611209,-85.6926806,6/13/2025,26,30.47,21.83,82.47,0.29,22.01,4.47
Macon,32.38611209,-85.6926806,6/14/2025,25.38,30.21,22.23,86.67,0.28,23.18,7.17
Macon,32.38611209,-85.6926806,6/15/2025,26.6,32.71,22.13,77.88,0.28,26.09,3.89
Macon,32.38611209,-85.6926806,6/16/2025,26.34,32.4,21.04,80.34,0.3,25.73,2.93
