date,sm_5cm_pct,sm_10cm_pct,sm_20cm_pct,sm_51cm_pct,sm_5cm_m3,sm_10cm_m3,sm_20cm_m3,sm_51cm_m3
4/12/2025,18.3,20.9,26.1,33.3,0.183,0.209,0.261,0.333
4/13/2025,14.3,14.6,17.6,33.3,0.143,0.146,0.176,0.333
4/14/2025,12.4,12.1,13.7,33.4,0.124,0.121,0.137,0.334
4/15/2025,10.9,10.9,12.1,31.5,0.109,0.109,0.121,0.315
4/16/2025,10,10,11.8,28.1,0.1,0.1,0.118,0.281
4/17/2025,8.9,9,10.9,26,0.089,0.09,0.109,0.26
4/18/2025,7.7,8.3,10.9,25.4,0.077,0.083,0.109,0.254
4/19/2025,7,7.7,10.3,24.9,0.07,0.077,0.103,0.249
4/20/2025,6.3,7.2,10.2,24.7,0.063,0.072,0.102,0.247
4/21/2025,6,6.8,9.8,24.6,0.06,0.068,0.098,0.246
4/22/2025,5.2,6.4,9.6,24.2,0.052,0.064,0.096,0.242
4/23/2025,5,6,9.4,24,0.05,0.06,0.094,0.24
4/24/2025,7,6,9,23.9,0.07,0.06,0.09,0.239
4/25/2025,6.1,5.5,9,23.7,0.061,0.055,0.09,0.237
4/26/2025,5.3,5.7,8.8,23.5,0.053,0.057,0.088,0.235
4/27/2025,4.9,5.6,8.7,23.5,0.049,0.056,0.087,0.235
4/28/2025,4.4,5.1,8.6,23.2,0.044,0.051,0.086,0.232
4/29/2025,4.1,5.3,8.5,23.1,0.041,0.053,0.085,0.231
4/30/2025,3.8,5.4,8.3,22.6,0.038,0.054,0.083,0.226
5/1/2025,3.8,5,7.9,22.4,0.038,0.05,0.079,0.224
5/2/2025,3.6,4.8,7.9,22.5,0.036,0.048,0.079,0.225
5/3/2025,3.2,4.7,7.5,22.3,0.032,0.047,0.075,0.223
5/4/2025,15.5,15.7,14.9,27.2,0.155,0.157,0.149,0.272
5/5/2025,12,12,12.7,26.2,0.12,0.12,0.127,0.262
5/6/2025,10.4,10.5,11.8,25.8,0.104,0.105,0.118,0.258
5/7/2025,9.6,9.6,11.4,25.4,0.096,0.096,0.114,0.254
5/8/2025,12.4,12.3,12.1,25.2,0.124,0.123,0.121,0.252
5/9/2025,10.7,10.2,12,25.2,0.107,0.102,0.12,0.252
5/10/2025,16.8,16.3,16.4,28.5,0.168,0.163,0.164,0.285
5/11/2025,17.4,17,16.2,33,0.174,0.17,0.162,0.33
5/12/2025,16.4,17,22.8,33.3,0.164,0.17,0.228,0.333
5/13/2025,14.3,14.6,17.7,33.4,0.143,0.146,0.177,0.334
5/14/2025,12.2,12.6,14,33.6,0.122,0.126,0.14,0.336
5/15/2025,10.9,11,12.6,32.3,0.109,0.11,0.126,0.323
5/16/2025,9.3,9.5,10.9,28.9,0.093,0.095,0.109,0.289
5/17/2025,8.4,8.8,11.7,26.8,0.084,0.088,0.117,0.268
5/18/2025,12.9,12.5,12,25.9,0.129,0.125,0.12,0.259
5/19/2025,11.8,11.6,12.3,25,0.118,0.116,0.123,0.25
5/20/2025,10.1,10.3,10.7,25.2,0.101,0.103,0.107,0.252
5/21/2025,8.7,9.3,10.9,24.9,0.087,0.093,0.109,0.249
5/22/2025,7.4,8,10.1,24.8,0.074,0.08,0.101,0.248
5/23/2025,6.5,7.2,10.4,24.5,0.065,0.072,0.104,0.245
5/24/2025,5.7,6.5,9.2,24.3,0.057,0.065,0.092,0.243
5/25/2025,4.9,6,9.3,24.1,0.049,0.06,0.093,0.241
5/26/2025,4.5,5.4,8.6,23.8,0.045,0.054,0.086,0.238
5/27/2025,14.9,15.1,15.1,32.5,0.149,0.151,0.151,0.325
5/28/2025,39.9,39.5,38.6,33.3,0.399,0.395,0.386,0.333
5/29/2025,34.7,39.6,39.4,33.4,0.347,0.396,0.394,0.334
5/30/2025,38.2,39.4,40,33.6,0.382,0.394,0.4,0.336
5/31/2025,38.1,39.4,40.3,33.9,0.381,0.394,0.403,0.339
6/1/2025,29.9,34.2,40.7,34.1,0.299,0.342,0.407,0.341
6/2/2025,18.1,20.3,24,34,0.181,0.203,0.24,0.34
6/3/2025,13.5,13.8,16.1,34.1,0.135,0.138,0.161,0.341
6/4/2025,11.9,11.5,13.3,34.1,0.119,0.115,0.133,0.341
6/5/2025,11.9,11.3,12,29.6,0.119,0.113,0.12,0.296
6/6/2025,11.3,11.2,12,27.3,0.113,0.112,0.12,0.273
6/7/2025,15.2,14.2,11.4,26.2,0.152,0.142,0.114,0.262
6/8/2025,12.6,12.4,12.3,26.1,0.126,0.124,0.123,0.261
6/9/2025,15,14.4,15,33.5,0.15,0.144,0.15,0.335
6/10/2025,13.5,13.6,14.1,33.8,0.135,0.136,0.141,0.338
6/11/2025,12.4,11.8,12.9,31.5,0.124,0.118,0.129,0.315
6/12/2025,10.7,10.5,11.7,28.6,0.107,0.105,0.117,0.286
6/13/2025,9.3,9.6,11.3,26.8,0.093,0.096,0.113,0.268
6/14/2025,8.3,8.8,11,26,0.083,0.088,0.11,0.26
6/15/2025,7.9,8.3,10.8,25.5,0.079,0.083,0.108,0.255
6/16/2025,7.3,7.8,10.3,25.3,0.073,0.078,0.103,0.253
6/17/2025,6.8,7.4,9.9,24.8,0.068,0.074,0.099,0.248
6/18/2025,10.6,7.5,9.9,24.6,0.106,0.075,0.099,0.246
6/19/2025,13.6,14,14.3,27.5,0.136,0.14,0.143,0.275
6/20/2025,13.6,13.8,13.3,27,0.136,0.138,0.133,0.27
6/21/2025,11.6,11.5,12.4,26.6,0.116,0.115,0.124,0.266
6/22/2025,9.8,10.1,11.8,26.3,0.098,0.101,0.118,0.263
6/23/2025,8.9,9.2,11.6,26,0.089,0.092,0.116,0.26
6/24/2025,11.4,8.9,10.7,25.6,0.114,0.089,0.107,0.256
6/25/2025,9.2,8.9,10.5,25.3,0.092,0.089,0.105,0.253
6/26/2025,15.5,13.1,10.2,25,0.155,0.131,0.102,0.25
6/27/2025,13.4,13.2,12.5,24.8,0.134,0.132,0.125,0.248
6/28/2025,11.2,11.4,12.4,25,0.112,0.114,0.124,0.25
6/29/2025,13.2,12.2,11.9,25,0.132,0.122,0.119,0.25
6/30/2025,15.4,15.4,14.8,25.8,0.154,0.154,0.148,0.258
7/1/2025,12.5,12.5,13.2,27,0.125,0.125,0.132,0.27
7/2/2025,13.3,13.3,13.6,27.1,0.133,0.133,0.136,0.271
7/3/2025,11.8,11.7,12.7,26.7,0.118,0.117,0.127,0.267
7/4/2025,9.9,10.3,12.1,26.3,0.099,0.103,0.121,0.263
7/5/2025,8.7,9.1,11.4,25.9,0.087,0.091,0.114,0.259
7/6/2025,7.4,8.1,10.8,25.6,0.074,0.081,0.108,0.256
7/7/2025,6.4,7.1,10.1,25.2,0.064,0.071,0.101,0.252
7/8/2025,5.4,6.5,9.5,24.9,0.054,0.065,0.095,0.249
7/9/2025,4.6,5.8,8.9,24.5,0.046,0.058,0.089,0.245
7/10/2025,4.1,5.2,8.2,24.2,0.041,0.052,0.082,0.242
7/11/2025,9.6,5.2,7.7,23.8,0.096,0.052,0.077,0.238
7/12/2025,7.3,6.1,8.1,23.6,0.073,0.061,0.081,0.236
7/13/2025,6,5.9,8.1,23.2,0.06,0.059,0.081,0.232
7/14/2025,5.1,5.5,7.8,22.9,0.051,0.055,0.078,0.229
7/15/2025,4.2,5.1,7.6,22.6,0.042,0.051,0.076,0.226
7/16/2025,3.6,4.6,7,22.1,0.036,0.046,0.07,0.221
7/17/2025,3.6,4.6,7.2,21.9,0.036,0.046,0.072,0.219
7/18/2025,9,4.7,7,21.4,0.09,0.047,0.07,0.214
7/19/2025,11.2,5.9,7.1,21.4,0.112,0.059,0.071,0.214
7/20/2025,8.4,7,7,21.3,0.084,0.07,0.07,0.213
7/21/2025,6.7,6.5,7.4,21.1,0.067,0.065,0.074,0.211
